rank,zdock_score,dockq
305,931.652,0.016
306,931.469,0.005
307,930.822,0.018
308,930.408,0.007
309,929.908,0.019
310,929.9,0.007
311,929.848,0.019
312,929.846,0.005
313,929.791,0.005
314,929.656,0.011
315,929.602,0.005
316,929.014,0.007
317,928.66,0.026
318,928.631,0.006
319,928.443,0.017
320,928.413,0.005
321,928.307,0.007
322,927.707,0.005
323,927.385,0.004
324,927.216,0.024
325,926.969,0.008
326,926.887,0.039
327,926.879,0.01
328,926.586,0.014
329,926.498,0.01
330,926.48,0.009
331,926.347,0.007
332,926.275,0.006
333,926.211,0.005
334,925.998,0.016
335,925.438,0.009
336,924.893,0.016
337,924.88,0.028
338,924.473,0.007
339,924.343,0.005
340,924.038,0.005
341,923.847,0.028
342,923.744,0.006
343,923.432,0.015
344,923.419,0.005
345,923.375,0.038
346,923.139,0.006
347,922.669,0.034
348,922.532,0.019
349,921.982,0.006
350,921.891,0.005
351,921.75,0.021
352,921.508,0.006
353,921.376,0.005
354,921.371,0.029
355,920.899,0.006
356,920.445,0.028
357,920.437,0.011
358,919.879,0.021
359,919.589,0.026
360,919.221,0.051
361,918.822,0.006
362,918.773,0.004
363,918.46,0.006
364,918.323,0.007
365,917.849,0.008
366,917.729,0.005
367,917.547,0.005
368,917.516,0.007
369,917.421,0.036
370,917.248,0.025
371,917.135,0.007
372,916.977,0.005
373,916.894,0.005
374,916.088,0.005
375,915.89,0.036
376,915.699,0.005
377,915.491,0.006
378,915.146,0.051
379,915.005,0.012
380,914.675,0.007
381,914.447,0.006
382,914.128,0.011
383,913.912,0.006
384,913.896,0.011
385,913.648,0.025
386,913.539,0.005
387,913.287,0.005
388,913.196,0.007
389,913.019,0.027
390,912.507,0.006
391,912.067,0.038
392,911.968,0.025
393,911.739,0.006
394,911.609,0.021
395,911.536,0.044
396,911.482,0.018
397,911.426,0.005
398,910.876,0.015
399,910.584,0.005
400,909.923,0.008
401,909.065,0.008
402,908.721,0.006
403,908.097,0.029
404,907.811,0.008
405,907.548,0.009
406,907.393,0.034
407,907.331,0.005
408,906.988,0.033
409,906.845,0.008
410,906.723,0.005
411,905.773,0.01
412,905.523,0.005
413,905.505,0.006
414,905.34,0.04
415,905.254,0.021
416,905.095,0.006
417,904.554,0.005
418,904.492,0.007
419,904.435,0.013
420,904.375,0.023
421,904.355,0.011
422,903.921,0.006
423,903.711,0.016
424,903.574,0.005
425,903.211,0.008
426,903.18,0.017
427,903.102,0.005
428,902.986,0.007
429,902.786,0.006
430,902.776,0.049
431,902.671,0.004
432,902.362,0.007
433,901.995,0.013
434,901.848,0.031
435,901.8,0.028
436,901.693,0.009
437,901.644,0.006
438,901.539,0.016
439,901.454,0.005
440,901.4,0.036
441,900.877,0.02
442,900.807,0.024
443,900.375,0.006
444,900.368,0.014
445,900.205,0.028
446,900.092,0.051
447,899.96,0.015
448,899.865,0.005
449,899.781,0.023
450,899.766,0.05
451,899.617,0.005
452,899.539,0.007
453,899.304,0.005
454,899.287,0.005
455,898.62,0.006
456,898.418,0.006
457,898.404,0.015
458,898.143,0.048
459,898.074,0.032
460,898.007,0.005
461,897.912,0.023
462,897.273,0.027
463,897.165,0.006
464,897.033,0.005
465,896.885,0.006
466,896.428,0.009
467,896.037,0.006
468,895.695,0.031
469,895.657,0.007
470,895.516,0.032
471,895.5,0.005
472,895.224,0.016
473,895.119,0.012
474,895.057,0.007
475,894.998,0.04
476,894.938,0.037
477,894.758,0.032
478,894.445,0.027
479,894.242,0.011
480,894.105,0.005
481,894.061,0.007
482,893.914,0.008
483,893.23,0.006
484,893.211,0.005
485,893.194,0.008
486,893.09,0.007
487,892.913,0.045
488,892.906,0.016
489,892.817,0.006
490,892.637,0.015
491,892.604,0.01
492,892.473,0.005
493,892.408,0.009
494,892.306,0.034
495,892.142,0.009
496,892.082,0.006
497,891.854,0.028
498,891.756,0.007
499,891.74,0.006
500,891.527,0.022
501,891.438,0.007
502,891.411,0.006
503,891.299,0.006
504,891.276,0.017
505,890.768,0.019
506,890.656,0.035
507,890.562,0.01
508,890.224,0.006
509,890.059,0.012
510,890.047,0.009
511,889.959,0.037
512,889.933,0.024
513,889.906,0.03
514,889.641,0.022
515,889.527,0.005
516,888.929,0.046
517,888.676,0.032
518,888.383,0.018
519,888.303,0.006
520,888.026,0.014
521,888.008,0.013
522,888.007,0.005
523,887.999,0.005
524,887.978,0.009
525,887.921,0.014
526,887.212,0.005
527,887.164,0.045
528,887.108,0.007
529,886.788,0.039
530,886.689,0.018
531,886.579,0.017
532,886.5,0.02
533,886.354,0.029
534,886.227,0.017
535,886.122,0.03
536,885.963,0.095
537,885.055,0.006
538,885.04,0.023
539,884.926,0.005
540,884.915,0.008
541,884.484,0.006
542,884.414,0.046
543,884.156,0.007
544,884.133,0.012
545,884.127,0.008
546,884.102,0.007
547,884.007,0.047
548,883.99,0.005
549,883.895,0.005
550,883.754,0.006
551,883.713,0.004
552,883.398,0.019
553,883.233,0.024
554,883.209,0.005
555,882.934,0.006
556,882.719,0.005
557,882.418,0.007
558,882.282,0.007
559,881.878,0.009
560,881.67,0.005
561,881.606,0.006
562,881.444,0.005
563,881.425,0.034
564,881.42,0.005
565,881.09,0.033
566,880.833,0.011
567,880.616,0.005
568,880.175,0.008
569,880.133,0.008
570,879.816,0.008
571,879.698,0.031
572,879.609,0.007
573,879.553,0.006
