rank,zdock_score,dockq
290,1111.479,0.012
291,1111.403,0.003
292,1111.039,0.004
293,1111.032,0.003
294,1110.527,0.007
295,1110.301,0.006
296,1110.27,0.005
297,1110.167,0.004
298,1109.386,0.003
299,1109.342,0.005
300,1108.531,0.004
301,1108.217,0.007
302,1107.735,0.004
303,1106.85,0.005
304,1106.604,0.002
305,1106.223,0.005
306,1105.87,0.004
307,1105.718,0.003
308,1105.714,0.004
309,1105.477,0.007
310,1105.395,0.008
311,1104.878,0.004
312,1104.608,0.003
313,1104.026,0.004
314,1103.996,0.005
315,1103.13,0.005
316,1102.941,0.004
317,1102.675,0.007
318,1102.166,0.008
319,1101.899,0.004
320,1101.423,0.005
321,1101.281,0.008
322,1100.91,0.003
323,1100.387,0.005
324,1099.984,0.004
325,1099.885,0.009
326,1099.742,0.029
327,1099.677,0.003
328,1099.355,0.006
329,1099.284,0.011
330,1098.911,0.005
331,1098.817,0.006
332,1098.744,0.003
333,1098.095,0.004
334,1097.657,0.004
335,1097.417,0.003
336,1097.248,0.004
337,1097.069,0.003
338,1097.02,0.004
339,1096.997,0.006
340,1096.744,0.003
341,1096.654,0.007
342,1096.434,0.005
343,1096.157,0.005
344,1095.852,0.003
345,1095.677,0.004
346,1095.42,0.004
347,1095.239,0.004
348,1094.7,0.015
349,1093.8,0.131
350,1093.195,0.004
351,1092.453,0.004
352,1091.633,0.008
353,1091.487,0.004
354,1091.279,0.005
355,1090.858,0.005
356,1090.002,0.144
357,1089.976,0.003
358,1089.767,0.006
359,1089.434,0.003
360,1088.792,0.005
361,1088.611,0.005
362,1088.456,0.06
363,1088.383,0.005
364,1088.339,0.004
365,1088.248,0.005
366,1088.166,0.004
367,1087.029,0.066
368,1086.885,0.002
369,1086.75,0.003
370,1086.477,0.007
371,1086.371,0.004
372,1086.076,0.006
373,1085.832,0.005
374,1085.337,0.002
375,1084.753,0.009
376,1084.745,0.003
377,1084.529,0.007
378,1084.491,0.003
379,1084.307,0.004
380,1084.035,0.004
381,1083.898,0.003
382,1082.945,0.003
383,1082.679,0.004
384,1082.214,0.003
385,1081.575,0.004
386,1081.464,0.003
387,1079.583,0.003
388,1079.409,0.005
389,1079.271,0.004
390,1079.257,0.005
391,1078.453,0.003
392,1078.318,0.003
393,1078.281,0.004
394,1078.146,0.01
395,1077.398,0.024
396,1077.34,0.005
397,1077.154,0.003
398,1077.066,0.003
399,1076.975,0.005
400,1076.914,0.004
401,1076.839,0.003
402,1076.305,0.005
403,1076.293,0.007
404,1076.239,0.002
405,1076.133,0.004
406,1075.731,0.003
407,1075.301,0.003
408,1074.928,0.018
409,1074.6,0.002
410,1074.517,0.004
411,1074.409,0.011
412,1074.133,0.014
413,1073.966,0.002
414,1073.838,0.013
415,1073.639,0.03
416,1073.091,0.003
417,1072.527,0.003
418,1072.087,0.006
419,1071.096,0.005
420,1070.525,0.002
421,1070.176,0.002
422,1069.954,0.004
423,1069.874,0.003
424,1069.633,0.004
425,1069.552,0.005
426,1069.347,0.003
427,1069.312,0.02
428,1069.25,0.008
429,1069.198,0.006
430,1068.221,0.005
431,1067.113,0.006
432,1067.07,0.004
433,1066.896,0.008
434,1066.71,0.005
435,1066.427,0.003
436,1066.297,0.004
437,1065.945,0.005
438,1065.759,0.002
439,1064.792,0.072
440,1064.552,0.003
441,1064.473,0.023
442,1063.857,0.003
443,1063.798,0.01
444,1063.708,0.007
445,1063.696,0.004
446,1063.534,0.003
447,1063.464,0.005
448,1063.11,0.004
449,1062.97,0.002
450,1062.779,0.004
451,1062.118,0.005
452,1062.086,0.008
453,1061.936,0.015
454,1061.794,0.003
455,1061.681,0.004
456,1061.44,0.003
457,1061.27,0.002
458,1061.242,0.004
459,1060.783,0.003
460,1060.591,0.003
461,1060.507,0.004
462,1060.314,0.005
463,1059.359,0.005
464,1059.087,0.005
465,1058.909,0.005
466,1058.423,0.002
467,1058.193,0.004
468,1057.886,0.003
469,1057.565,0.003
470,1056.581,0.003
471,1055.832,0.005
472,1055.798,0.003
473,1055.368,0.008
474,1054.954,0.002
475,1054.885,0.003
476,1054.806,0.002
477,1054.079,0.017
478,1053.552,0.006
479,1053.414,0.03
480,1053.125,0.004
481,1052.367,0.006
482,1052.069,0.002
483,1051.754,0.006
484,1051.547,0.002
485,1051.192,0.002
486,1051.164,0.004
487,1050.948,0.006
488,1050.855,0.005
489,1050.631,0.005
490,1050.484,0.1
491,1050.373,0.003
492,1050.032,0.106
493,1050.002,0.039
494,1048.979,0.004
495,1048.975,0.003
496,1048.86,0.005
497,1048.6,0.006
498,1048.507,0.005
499,1048.435,0.005
500,1048.365,0.004
501,1048.181,0.004
502,1048.137,0.004
503,1047.921,0.004
504,1047.8,0.004
505,1047.314,0.005
506,1046.784,0.005
507,1046.607,0.004
508,1046.366,0.003
509,1046.229,0.007
510,1046.062,0.003
511,1045.872,0.003
512,1045.547,0.007
513,1045.242,0.004
514,1045.168,0.007
515,1044.742,0.004
516,1044.737,0.006
517,1044.39,0.009
518,1044.327,0.006
519,1044.212,0.004
520,1044.004,0.003
521,1043.948,0.004
522,1043.585,0.005
523,1043.492,0.014
524,1043.368,0.003
525,1043.206,0.005
526,1043.181,0.007
527,1043.105,0.005
528,1042.926,0.003
529,1042.609,0.005
530,1042.493,0.004
531,1042.417,0.005
532,1042.379,0.003
533,1042.286,0.002
534,1042.123,0.005
535,1041.333,0.003
536,1041.173,0.008
537,1040.992,0.033
538,1040.879,0.004
539,1040.226,0.003
540,1040.076,0.006
541,1039.741,0.003
542,1039.564,0.006
543,1039.453,0.002
544,1039.246,0.004
545,1038.851,0.004
546,1038.757,0.005
547,1038.629,0.005
548,1037.526,0.015
549,1037.124,0.004
550,1037.062,0.022
551,1036.854,0.004
552,1036.359,0.003
553,1035.918,0.037
554,1035.861,0.003
555,1035.791,0.008
556,1035.678,0.005
557,1035.621,0.004
558,1035.519,0.007
559,1035.421,0.004
560,1035.315,0.004
561,1035.258,0.005
562,1035.051,0.004
563,1034.795,0.003
564,1034.767,0.023
565,1034.51,0.003
566,1034.109,0.003
567,1034.079,0.008
568,1033.964,0.008
569,1033.934,0.003
570,1033.804,0.004
571,1033.664,0.005
572,1033.158,0.005
573,1032.913,0.004
574,1032.745,0.004
575,1032.458,0.005
576,1032.455,0.004
577,1032.243,0.003
578,1032.07,0.003
579,1031.818,0.006
580,1031.407,0.003
581,1031.32,0.007
582,1031.251,0.01
583,1030.994,0.003
584,1030.563,0.006
585,1030.45,0.004
586,1030.018,0.007
587,1029.85,0.002
588,1029.787,0.003
589,1029.687,0.003
590,1029.676,0.009
591,1029.573,0.004
592,1029.542,0.007
593,1029.304,0.004
594,1029.192,0.005
595,1028.862,0.006
596,1028.856,0.012
597,1028.68,0.004
598,1028.586,0.003
599,1028.515,0.011
600,1028.511,0.005
601,1028.259,0.003
602,1028.163,0.003
603,1027.884,0.005
604,1027.74,0.005
605,1027.51,0.002
606,1027.427,0.003
607,1027.422,0.006
608,1027.364,0.005
609,1027.273,0.005
610,1027.083,0.023
611,1027.008,0.04
612,1026.675,0.002
613,1026.368,0.007
614,1026.235,0.005
615,1026.138,0.007
616,1025.966,0.005
617,1025.92,0.004
618,1025.754,0.004
619,1025.327,0.002
620,1024.602,0.005
621,1024.546,0.005
622,1024.455,0.005
623,1023.783,0.004
624,1023.488,0.004
625,1023.439,0.008
626,1023.0,0.002
627,1022.962,0.005
628,1022.823,0.003
629,1022.767,0.015
630,1022.677,0.003
631,1022.324,0.004
632,1022.202,0.003
633,1022.07,0.013
634,1021.762,0.009
635,1021.568,0.006
636,1021.155,0.025
637,1021.044,0.003
638,1021.023,0.003
639,1020.484,0.011
640,1020.219,0.007
641,1020.195,0.003
642,1019.525,0.004
643,1019.413,0.009
644,1019.372,0.003
645,1018.954,0.006
646,1018.558,0.003
647,1018.35,0.004
648,1017.878,0.004
649,1017.793,0.004
650,1017.536,0.002
651,1017.169,0.005
652,1017.021,0.002
653,1017.006,0.002
654,1016.913,0.003
655,1016.814,0.005
656,1016.783,0.005
657,1016.683,0.004
658,1016.674,0.002
659,1016.377,0.004
660,1016.05,0.005
661,1015.938,0.012
662,1015.471,0.003
663,1015.326,0.005
664,1015.312,0.005
665,1015.117,0.003
666,1014.701,0.004
667,1014.48,0.004
668,1014.416,0.004
669,1014.252,0.003
670,1013.698,0.004
671,1013.68,0.005
672,1013.495,0.005
673,1013.474,0.005
674,1013.435,0.005
675,1013.282,0.004
676,1013.102,0.005
677,1012.754,0.007
678,1012.714,0.002
679,1012.648,0.002
680,1012.316,0.033
681,1012.209,0.003
682,1011.761,0.005
683,1011.582,0.003
684,1011.534,0.002
685,1011.014,0.007
686,1010.982,0.01
687,1010.936,0.005
688,1010.722,0.004
689,1010.717,0.012
690,1010.682,0.016
691,1010.391,0.002
692,1010.094,0.008
693,1010.057,0.009
694,1009.81,0.004
695,1009.551,0.002
696,1009.447,0.003
697,1009.165,0.003
698,1009.109,0.007
699,1009.019,0.002
700,1008.861,0.004
701,1008.734,0.006
702,1008.699,0.004
703,1008.592,0.004
704,1008.153,0.006
705,1008.026,0.002
706,1007.709,0.055
707,1007.654,0.017
708,1007.578,0.006
709,1007.553,0.008
710,1007.476,0.006
711,1007.46,0.007
712,1007.43,0.003
713,1007.342,0.002
714,1007.332,0.004
715,1007.311,0.003
716,1006.776,0.004
717,1006.634,0.004
718,1006.538,0.003
719,1006.457,0.004
720,1006.424,0.003
721,1006.235,0.005
722,1006.227,0.003
723,1006.119,0.004
724,1006.118,0.004
725,1005.786,0.003
726,1005.563,0.003
727,1005.392,0.003
728,1005.078,0.004
729,1005.021,0.003
730,1004.906,0.005
731,1004.722,0.006
732,1004.677,0.003
733,1004.535,0.005
734,1004.486,0.002
735,1004.456,0.004
736,1004.014,0.004
737,1003.979,0.008
738,1003.632,0.003
739,1003.57,0.003
740,1003.569,0.006
741,1003.323,0.006
742,1003.291,0.014
743,1003.263,0.007
744,1003.079,0.003
745,1002.786,0.004
746,1002.785,0.003
747,1002.685,0.005
748,1002.682,0.045
749,1002.45,0.007
750,1002.359,0.004
751,1001.741,0.004
752,1001.707,0.004
753,1001.684,0.033
754,1001.589,0.005
755,1001.376,0.004
756,1001.261,0.003
757,1001.22,0.002
758,1001.192,0.003
759,1001.173,0.003
760,1001.078,0.003
761,1001.007,0.004
762,1000.998,0.004
763,1000.426,0.004
764,1000.339,0.003
765,1000.33,0.004
766,1000.216,0.004
767,999.839,0.003
768,999.533,0.002
769,998.994,0.019
770,998.756,0.004
771,998.38,0.003
772,998.377,0.003
773,998.174,0.004
774,997.984,0.012
775,997.928,0.005
776,997.833,0.017
777,997.385,0.002
778,997.361,0.005
779,997.106,0.003
780,996.988,0.006
781,996.983,0.012
782,996.93,0.002
783,996.875,0.005
784,996.318,0.002
785,996.211,0.004
786,996.12,0.004
787,996.047,0.686
788,996.031,0.006
789,995.927,0.009
790,995.798,0.003
791,995.73,0.003
792,995.551,0.007
793,995.467,0.002
794,995.341,0.004
795,995.093,0.003
796,994.703,0.005
797,994.584,0.004
798,994.493,0.004
799,994.486,0.005
800,993.981,0.004
801,993.707,0.004
802,993.413,0.005
803,993.334,0.015
804,993.145,0.032
805,993.059,0.005
806,992.871,0.009
807,992.626,0.003
808,992.549,0.53
809,992.3,0.006
810,992.105,0.003
811,992.05,0.166
812,991.942,0.003
813,991.812,0.004
814,991.786,0.003
815,991.76,0.003
816,991.675,0.006
817,991.67,0.005
818,991.657,0.004
819,991.642,0.003
820,991.622,0.005
821,991.605,0.007
822,991.548,0.002
823,991.464,0.003
824,991.423,0.003
825,991.308,0.003
826,991.228,0.003
827,991.162,0.012
828,991.029,0.003
829,990.821,0.004
830,990.668,0.003
831,990.626,0.003
832,990.439,0.004
833,990.306,0.003
834,990.07,0.004
835,990.042,0.003
836,989.86,0.003
837,989.824,0.003
838,989.7,0.005
839,989.68,0.004
840,989.595,0.006
841,989.477,0.005
842,989.297,0.004
843,989.206,0.003
844,989.162,0.007
845,989.108,0.005
846,988.974,0.179
847,988.972,0.063
848,988.745,0.008
849,988.46,0.005
850,988.438,0.003
851,988.384,0.004
852,988.046,0.006
853,988.032,0.008
854,987.859,0.012
855,987.541,0.009
856,987.472,0.005
857,987.368,0.003
858,987.032,0.002
859,986.77,0.004
860,986.155,0.012
861,986.069,0.005
862,985.735,0.002
863,985.688,0.004
864,985.367,0.005
865,985.135,0.005
866,984.893,0.002
867,984.711,0.007
868,984.587,0.006
869,984.373,0.003
870,984.133,0.005
871,984.048,0.004
872,984.017,0.004
873,983.998,0.006
874,983.817,0.005
875,983.741,0.005
876,983.637,0.003
877,983.527,0.006
878,983.419,0.003
879,983.286,0.005
880,983.096,0.005
881,982.967,0.003
882,982.803,0.008
883,982.7,0.004
884,982.625,0.002
885,982.465,0.003
886,982.461,0.003
887,982.282,0.012
888,981.816,0.003
889,981.756,0.003
890,981.706,0.005
891,981.656,0.003
892,981.294,0.005
893,981.209,0.014
894,980.869,0.003
895,980.86,0.006
896,980.817,0.003
897,980.726,0.002
898,980.586,0.008
899,980.564,0.002
900,980.548,0.006
901,980.499,0.002
902,980.416,0.004
903,980.128,0.003
904,979.645,0.004
905,979.591,0.003
906,979.244,0.005
907,979.095,0.004
908,979.024,0.004
909,978.792,0.004
910,978.59,0.008
911,978.48,0.011
912,978.472,0.006
913,978.432,0.004
914,978.423,0.005
915,978.32,0.007
916,978.186,0.003
917,977.961,0.004
918,977.781,0.006
919,977.617,0.006
920,977.486,0.003
921,977.36,0.003
922,977.029,0.012
923,976.955,0.003
924,976.725,0.005
925,976.691,0.015
926,976.666,0.032
927,976.663,0.004
928,976.6,0.016
929,976.523,0.004
930,976.487,0.003
931,976.262,0.004
932,976.19,0.004
933,976.12,0.003
934,975.998,0.004
935,975.889,0.003
936,975.785,0.003
937,975.624,0.008
938,975.583,0.007
939,975.569,0.003
940,975.486,0.003
941,975.398,0.005
942,975.284,0.004
943,975.005,0.003
944,974.827,0.003
945,974.763,0.004
946,974.735,0.004
947,974.604,0.004
948,973.933,0.004
949,973.757,0.005
950,973.508,0.007
951,973.483,0.005
952,973.312,0.006
953,973.07,0.006
954,972.873,0.003
955,972.801,0.004
956,972.791,0.004
957,972.722,0.005
958,972.5,0.019
959,972.494,0.004
960,972.155,0.004
961,972.034,0.003
962,971.989,0.004
963,971.945,0.004
964,971.932,0.003
965,971.71,0.005
966,971.682,0.003
967,971.552,0.004
968,971.3,0.013
969,971.266,0.005
970,971.064,0.004
971,970.508,0.004
972,970.219,0.005
973,970.15,0.008
974,970.131,0.008
975,970.054,0.006
976,969.99,0.002
