rank,zdock_score,dockq
319,740.984,0.004
320,740.889,0.004
321,740.724,0.004
322,740.53,0.007
323,740.523,0.004
324,740.254,0.004
325,740.218,0.005
326,740.143,0.006
327,739.569,0.005
328,739.553,0.005
329,739.231,0.004
330,739.151,0.004
331,737.826,0.004
332,737.49,0.005
333,737.441,0.004
334,737.4,0.007
335,737.289,0.004
336,737.154,0.005
337,736.846,0.004
338,736.802,0.004
339,736.443,0.005
340,736.434,0.004
341,735.917,0.004
342,735.885,0.004
343,735.797,0.005
344,735.617,0.005
345,735.593,0.004
346,735.377,0.004
347,735.369,0.004
348,735.155,0.004
349,735.009,0.004
350,734.855,0.005
351,734.832,0.004
352,734.584,0.004
353,734.541,0.005
354,734.442,0.004
355,734.375,0.005
356,734.352,0.005
357,733.937,0.004
358,733.862,0.005
359,733.849,0.004
360,733.826,0.005
361,733.781,0.007
362,733.775,0.007
363,733.596,0.004
364,733.517,0.004
365,733.054,0.006
366,732.916,0.005
367,732.914,0.004
368,732.785,0.004
369,732.411,0.004
370,732.332,0.004
371,731.683,0.004
372,731.264,0.004
373,731.051,0.006
374,730.965,0.005
375,730.755,0.005
376,730.419,0.004
377,730.375,0.005
378,730.32,0.004
379,730.121,0.004
380,730.08,0.005
381,729.866,0.004
382,729.779,0.005
383,729.37,0.004
384,729.242,0.007
385,728.976,0.004
386,728.85,0.004
387,728.604,0.006
388,728.147,0.004
389,727.698,0.004
390,727.171,0.004
391,727.132,0.004
392,727.089,0.004
393,727.038,0.005
394,726.835,0.007
395,726.46,0.004
396,726.337,0.003
397,726.319,0.005
398,726.286,0.004
399,726.28,0.004
400,726.239,0.005
401,726.151,0.004
402,726.125,0.004
403,726.116,0.004
404,725.934,0.004
405,725.473,0.004
406,725.309,0.005
407,724.947,0.005
408,724.625,0.005
409,724.557,0.004
410,724.537,0.004
411,724.07,0.008
412,723.667,0.004
413,723.397,0.004
414,723.387,0.004
415,723.382,0.004
416,723.214,0.006
417,723.144,0.005
418,723.124,0.005
419,722.998,0.004
420,722.994,0.004
421,722.97,0.004
422,722.912,0.005
423,722.547,0.005
424,722.256,0.004
425,722.146,0.004
426,722.126,0.004
427,722.116,0.005
428,721.755,0.005
429,721.746,0.005
430,721.415,0.005
431,721.075,0.004
432,721.018,0.004
433,720.802,0.004
434,720.518,0.004
435,720.448,0.006
436,720.143,0.004
437,720.056,0.004
438,719.939,0.004
439,719.893,0.005
440,719.876,0.004
441,719.767,0.004
442,719.742,0.004
443,719.193,0.004
444,718.852,0.004
445,718.759,0.004
446,718.451,0.005
447,718.275,0.004
448,718.168,0.004
449,718.099,0.004
450,718.08,0.004
451,717.812,0.004
452,717.662,0.005
453,717.59,0.007
454,717.497,0.004
455,717.419,0.005
456,717.412,0.004
457,717.365,0.004
458,717.344,0.006
459,717.219,0.004
460,717.129,0.004
461,717.084,0.004
462,717.04,0.004
463,716.995,0.004
464,716.643,0.005
465,716.435,0.004
466,716.412,0.005
467,716.216,0.005
468,716.16,0.004
469,716.035,0.004
470,715.268,0.005
471,715.235,0.004
472,715.137,0.004
473,714.956,0.004
474,714.916,0.005
475,714.88,0.004
476,714.847,0.004
477,714.797,0.004
478,714.783,0.004
479,714.733,0.004
480,714.68,0.004
481,713.914,0.006
482,713.821,0.005
483,713.668,0.004
484,713.345,0.005
485,713.335,0.004
486,713.257,0.005
487,713.085,0.004
488,712.744,0.004
489,712.74,0.006
490,712.74,0.004
491,712.722,0.004
492,712.586,0.004
493,712.531,0.004
494,712.018,0.006
495,711.838,0.004
496,711.832,0.005
497,711.776,0.004
498,711.555,0.004
499,711.306,0.005
500,711.095,0.004
501,711.07,0.005
502,711.026,0.005
503,710.976,0.004
504,710.957,0.005
505,710.871,0.004
506,710.58,0.005
507,710.476,0.004
508,710.291,0.004
509,710.234,0.005
510,710.03,0.004
511,710.016,0.008
512,709.921,0.006
513,709.479,0.005
514,709.316,0.004
515,709.272,0.004
516,709.257,0.004
517,709.148,0.005
518,709.062,0.005
519,708.808,0.004
520,708.746,0.004
521,708.588,0.006
522,708.581,0.004
523,708.482,0.004
524,708.221,0.005
525,708.04,0.004
526,707.489,0.004
527,707.398,0.004
528,707.318,0.004
529,707.192,0.004
530,707.188,0.005
531,706.793,0.005
532,706.576,0.004
533,706.572,0.005
534,706.263,0.004
535,706.1,0.005
536,706.078,0.004
537,706.033,0.004
538,705.733,0.004
539,705.664,0.004
540,705.516,0.004
541,705.32,0.005
542,705.306,0.004
543,705.028,0.004
544,704.946,0.004
545,704.926,0.006
546,704.824,0.005
547,704.409,0.004
548,704.24,0.004
549,703.951,0.005
550,703.91,0.006
551,703.521,0.005
552,703.44,0.004
553,703.411,0.005
554,703.332,0.005
555,702.959,0.005
556,702.82,0.004
557,702.653,0.004
558,702.357,0.004
559,702.169,0.004
560,702.059,0.004
561,701.892,0.005
562,701.634,0.006
563,701.472,0.004
564,701.335,0.005
565,701.242,0.004
566,701.036,0.004
567,700.986,0.008
568,700.934,0.005
569,700.829,0.004
570,700.753,0.006
571,700.694,0.004
572,700.584,0.004
573,700.467,0.004
574,700.398,0.004
575,700.314,0.004
576,700.254,0.004
577,700.131,0.005
578,700.061,0.004
579,700.055,0.004
580,700.036,0.005
581,699.902,0.005
582,699.782,0.004
583,699.737,0.004
584,699.725,0.005
585,699.713,0.004
586,699.669,0.004
587,699.646,0.005
588,699.357,0.005
589,699.295,0.005
590,699.213,0.004
591,699.204,0.006
592,699.112,0.004
593,699.037,0.004
594,698.776,0.004
595,698.733,0.004
596,697.971,0.004
597,697.777,0.004
598,697.671,0.004
599,697.571,0.004
600,697.467,0.004
601,697.142,0.004
602,697.114,0.004
603,696.925,0.004
604,696.283,0.004
605,696.146,0.004
606,695.825,0.005
607,695.81,0.005
608,695.797,0.004
609,695.749,0.006
610,695.597,0.004
611,695.242,0.005
612,695.169,0.004
613,695.108,0.004
614,694.986,0.004
615,694.939,0.007
616,694.911,0.004
617,694.724,0.004
618,694.416,0.004
619,694.312,0.005
620,693.965,0.004
621,693.594,0.004
622,693.38,0.004
623,693.369,0.005
624,693.289,0.004
625,693.24,0.005
626,693.234,0.004
627,693.074,0.004
628,693.053,0.004
629,693.048,0.004
630,692.829,0.004
631,692.795,0.005
632,692.789,0.004
633,692.707,0.004
634,692.697,0.004
635,692.372,0.006
636,692.255,0.004
637,692.089,0.004
638,692.025,0.004
639,691.654,0.005
640,691.433,0.004
641,691.341,0.005
642,691.261,0.006
643,691.159,0.004
644,690.802,0.004
645,690.569,0.004
646,690.329,0.004
647,690.098,0.004
648,690.081,0.004
649,690.011,0.004
650,689.89,0.004
651,689.825,0.005
652,689.795,0.004
653,689.606,0.004
654,689.593,0.005
655,689.565,0.004
656,689.56,0.004
657,689.529,0.004
658,689.367,0.011
659,689.332,0.004
660,689.21,0.004
661,689.124,0.005
662,689.043,0.004
663,688.68,0.005
664,688.663,0.004
665,688.555,0.004
666,688.222,0.004
667,688.221,0.004
668,688.163,0.004
669,687.783,0.006
670,687.582,0.004
671,687.54,0.004
672,687.467,0.004
673,687.237,0.004
674,687.091,0.005
675,687.024,0.006
676,686.957,0.006
677,686.731,0.005
678,686.499,0.005
679,686.285,0.004
680,685.488,0.005
681,685.396,0.004
682,685.384,0.004
683,685.383,0.004
684,685.351,0.004
685,685.247,0.006
686,685.158,0.004
687,685.129,0.005
688,685.106,0.004
689,685.042,0.004
690,684.703,0.004
691,684.648,0.004
692,684.605,0.004
693,684.531,0.004
694,684.438,0.005
695,684.415,0.004
696,684.402,0.006
697,684.329,0.005
698,684.216,0.004
699,683.926,0.005
700,683.861,0.004
701,683.842,0.005
702,683.77,0.005
703,683.598,0.005
704,683.557,0.004
705,683.412,0.006
706,683.389,0.004
707,683.341,0.004
708,683.293,0.004
709,683.251,0.004
710,683.103,0.006
711,683.044,0.004
712,682.972,0.004
713,682.859,0.004
714,682.831,0.004
715,682.763,0.004
716,682.579,0.004
717,682.538,0.004
718,682.488,0.004
719,682.239,0.004
720,682.205,0.006
721,681.965,0.004
722,681.935,0.004
723,681.863,0.004
724,681.596,0.003
725,681.066,0.005
726,681.06,0.004
727,681.051,0.004
728,681.049,0.004
729,681.033,0.005
730,680.98,0.004
731,680.872,0.004
732,680.495,0.005
733,680.25,0.005
734,680.222,0.005
735,679.99,0.006
736,679.871,0.004
737,679.868,0.004
738,679.849,0.003
739,679.699,0.004
740,679.57,0.004
741,679.483,0.004
742,679.232,0.004
743,679.197,0.004
744,679.117,0.004
745,678.829,0.004
746,678.629,0.004
747,678.373,0.004
748,678.264,0.004
749,678.222,0.004
750,678.221,0.005
751,678.169,0.005
752,677.957,0.004
753,677.681,0.005
754,677.629,0.005
755,677.559,0.005
756,677.548,0.004
757,677.502,0.005
758,677.496,0.004
759,677.488,0.005
760,677.296,0.004
761,677.237,0.004
762,677.133,0.004
763,676.958,0.006
764,676.918,0.004
765,676.888,0.004
766,676.851,0.004
767,676.836,0.004
768,676.822,0.004
769,676.53,0.004
770,676.425,0.004
771,676.394,0.004
772,676.173,0.005
773,676.143,0.003
774,676.121,0.004
775,675.942,0.004
776,675.931,0.005
777,675.875,0.005
778,675.864,0.004
779,675.837,0.006
780,675.734,0.004
781,675.546,0.004
782,675.527,0.004
783,675.449,0.005
784,675.441,0.005
785,675.408,0.004
786,675.406,0.004
787,675.378,0.005
788,675.362,0.004
789,675.346,0.005
790,675.323,0.004
791,675.262,0.004
792,675.238,0.005
793,675.232,0.005
794,675.055,0.004
795,675.03,0.006
796,674.989,0.004
797,674.909,0.004
798,674.855,0.005
799,674.789,0.004
800,674.77,0.004
801,674.767,0.004
802,674.697,0.004
803,674.621,0.004
804,674.548,0.004
805,674.423,0.004
806,674.418,0.004
