path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed3_r0,8k3k_d_sample_0.cif,0.05598
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed3_r3,8k3k_d_sample_2.cif,0.06666
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed3_r2,8k3k_d_sample_3.cif,0.11812
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed3_r2,8k3k_d_sample_4.cif,0.13179
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed3_r0,8k3k_d_sample_3.cif,0.08265
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed3_r2,8k3k_d_sample_0.cif,0.11685
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed3_r1,8k3k_d_sample_3.cif,0.05181
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed3_r0,8k3k_d_sample_1.cif,0.11344
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed3_r2,8k3k_d_sample_2.cif,0.0781
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed3_r0,8k3k_d_sample_4.cif,0.09056
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed3_r3,8k3k_d_sample_3.cif,0.04305
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed3_r1,8k3k_d_sample_2.cif,0.06185
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed3_r3,8k3k_d_sample_1.cif,0.04809
