rank,zdock_score,dockq
319,666.845,0.01
320,666.373,0.01
321,666.365,0.012
322,666.354,0.026
323,666.062,0.023
324,665.838,0.008
325,665.765,0.024
326,665.543,0.01
327,665.355,0.014
328,665.352,0.01
329,665.338,0.012
330,665.099,0.014
331,665.029,0.011
332,664.941,0.014
333,664.896,0.01
334,664.84,0.013
335,664.756,0.008
336,664.468,0.013
337,664.143,0.013
338,664.092,0.017
339,664.034,0.007
340,663.849,0.013
341,663.516,0.011
342,663.193,0.011
343,663.083,0.009
344,662.151,0.016
345,662.136,0.017
346,661.641,0.015
347,661.489,0.012
348,661.342,0.011
349,661.129,0.011
350,661.022,0.014
351,660.979,0.015
352,660.883,0.009
353,660.648,0.007
354,660.556,0.013
355,660.09,0.018
356,659.974,0.009
357,659.772,0.019
358,659.458,0.007
359,659.449,0.015
360,658.835,0.01
361,658.697,0.012
362,658.49,0.014
363,658.129,0.039
364,658.051,0.01
365,657.868,0.009
366,657.703,0.013
367,657.55,0.014
368,657.354,0.013
369,657.345,0.011
370,657.136,0.017
371,656.884,0.015
372,656.777,0.013
373,656.441,0.008
374,656.285,0.018
375,656.092,0.029
376,656.081,0.014
377,656.051,0.011
378,656.003,0.025
379,655.781,0.009
380,655.753,0.016
381,655.713,0.011
382,655.259,0.017
383,654.713,0.017
384,654.712,0.014
385,654.609,0.014
386,654.565,0.01
387,654.546,0.01
388,654.17,0.012
389,654.094,0.019
390,653.844,0.01
391,653.164,0.009
392,653.009,0.01
393,652.484,0.015
394,651.849,0.009
395,651.757,0.014
396,651.517,0.014
397,651.381,0.008
398,651.361,0.02
399,651.269,0.014
400,651.2,0.017
401,651.153,0.016
402,650.833,0.015
403,650.422,0.01
404,649.85,0.019
405,649.7,0.01
406,649.259,0.008
407,649.097,0.018
408,648.864,0.025
409,648.702,0.009
410,648.499,0.016
411,648.222,0.014
412,648.208,0.01
413,648.203,0.018
414,648.156,0.013
415,648.002,0.031
416,647.848,0.009
417,647.787,0.011
418,647.769,0.008
419,647.669,0.012
420,646.641,0.007
421,646.525,0.008
422,646.464,0.014
423,646.287,0.01
424,646.278,0.011
425,646.063,0.02
426,646.021,0.01
427,646.011,0.023
428,645.663,0.01
429,645.611,0.014
430,645.253,0.018
431,645.217,0.014
432,645.018,0.02
433,644.997,0.013
434,644.685,0.014
435,644.473,0.013
436,644.218,0.011
437,644.097,0.009
438,643.995,0.016
439,643.808,0.017
440,643.702,0.015
441,643.689,0.014
442,643.62,0.027
443,643.363,0.011
444,643.214,0.016
445,642.917,0.011
446,642.892,0.023
447,642.605,0.025
448,642.381,0.009
449,642.244,0.012
450,642.129,0.013
451,642.086,0.011
452,642.082,0.008
453,642.012,0.008
454,642.007,0.012
455,641.631,0.011
456,641.542,0.017
457,640.877,0.016
458,640.481,0.01
459,640.238,0.014
460,639.695,0.016
461,639.637,0.014
