rank,zdock_score,dockq
319,573.521,0.028
320,572.997,0.047
321,572.968,0.049
322,572.824,0.131
323,572.501,0.032
324,572.411,0.117
325,572.356,0.053
326,572.277,0.06
327,571.717,0.048
328,570.914,0.026
329,570.885,0.05
330,570.767,0.07
331,570.681,0.057
332,570.218,0.066
333,569.873,0.037
334,569.595,0.044
335,569.469,0.038
336,569.123,0.065
337,568.856,0.035
338,568.759,0.066
339,568.758,0.059
340,568.352,0.062
341,567.955,0.044
342,567.758,0.106
343,567.561,0.056
344,567.546,0.072
345,567.534,0.095
346,567.368,0.04
347,567.251,0.056
348,567.011,0.079
349,566.938,0.042
350,566.904,0.054
351,566.877,0.052
352,566.78,0.055
353,566.501,0.084
354,566.411,0.055
355,566.207,0.072
356,566.127,0.092
357,566.093,0.061
358,566.081,0.077
359,565.775,0.048
360,565.419,0.045
361,565.364,0.033
362,564.797,0.07
363,564.618,0.036
364,564.42,0.065
365,564.05,0.044
366,563.932,0.051
367,563.602,0.067
368,563.238,0.051
369,563.027,0.047
370,562.945,0.071
371,562.892,0.051
372,562.623,0.043
373,562.617,0.049
374,562.568,0.051
375,562.188,0.04
376,562.136,0.04
377,561.818,0.029
378,561.562,0.028
379,561.524,0.092
380,561.313,0.117
381,560.889,0.057
382,560.791,0.053
383,560.687,0.1
384,560.249,0.046
385,560.032,0.023
386,559.734,0.037
387,559.66,0.078
388,558.846,0.06
389,558.708,0.043
390,558.452,0.031
391,558.397,0.053
392,558.341,0.039
393,558.289,0.039
394,557.827,0.036
395,557.115,0.047
396,556.578,0.068
397,556.573,0.031
398,556.425,0.036
399,556.184,0.038
400,555.794,0.04
401,555.239,0.125
402,554.808,0.047
403,554.675,0.063
404,554.428,0.027
405,554.38,0.039
406,554.272,0.046
407,554.098,0.039
408,554.049,0.049
409,553.986,0.037
410,553.844,0.058
411,553.433,0.054
412,552.727,0.044
413,552.709,0.134
414,552.337,0.047
415,552.166,0.05
416,552.094,0.029
417,552.09,0.077
418,552.081,0.04
419,552.017,0.074
420,551.766,0.059
421,551.757,0.047
422,551.307,0.037
423,551.244,0.051
424,551.161,0.037
425,551.022,0.028
426,550.923,0.035
427,550.918,0.099
428,550.382,0.057
429,548.678,0.06
430,548.453,0.069
431,548.271,0.026
432,548.158,0.033
433,548.082,0.052
434,547.929,0.093
435,547.705,0.264
436,547.642,0.068
437,547.591,0.049
438,547.097,0.054
439,546.686,0.045
440,546.544,0.042
441,546.505,0.076
442,546.055,0.035
443,545.632,0.026
444,545.236,0.051
445,545.189,0.059
446,545.093,0.048
447,544.851,0.042
448,544.403,0.046
449,544.216,0.053
450,543.87,0.076
451,543.232,0.061
452,543.219,0.038
453,543.0,0.054
454,542.985,0.054
455,542.934,0.063
456,542.88,0.118
457,542.777,0.065
458,542.608,0.056
459,542.386,0.061
460,542.222,0.039
461,542.157,0.052
462,542.138,0.076
463,541.947,0.03
464,541.692,0.036
465,541.635,0.044
466,541.512,0.099
467,541.466,0.05
468,541.407,0.033
469,541.324,0.039
470,540.804,0.048
471,540.407,0.059
472,540.237,0.065
473,540.123,0.056
474,539.936,0.039
475,539.711,0.054
476,539.548,0.05
477,539.271,0.046
478,538.977,0.044
479,538.959,0.072
480,538.838,0.203
481,538.264,0.025
482,538.252,0.101
483,538.163,0.035
484,537.974,0.052
485,537.925,0.069
486,537.788,0.054
487,537.314,0.133
488,537.197,0.05
489,537.104,0.061
490,537.006,0.055
491,536.846,0.05
492,536.546,0.044
493,536.406,0.049
494,536.146,0.053
495,536.007,0.065
496,535.899,0.031
497,535.557,0.045
498,535.208,0.044
499,535.151,0.032
500,535.142,0.059
501,534.659,0.079
502,534.462,0.025
503,534.302,0.072
504,534.24,0.062
505,533.949,0.036
506,533.535,0.093
507,533.488,0.084
508,533.469,0.033
509,533.241,0.032
510,533.177,0.047
511,532.652,0.03
512,532.542,0.034
513,532.219,0.045
514,532.213,0.036
515,532.029,0.037
516,531.847,0.038
517,531.818,0.061
518,531.462,0.053
519,531.238,0.063
520,531.191,0.295
521,530.81,0.039
522,530.663,0.033
523,530.568,0.051
524,530.199,0.069
525,530.081,0.03
526,529.762,0.052
527,529.755,0.058
528,529.475,0.043
529,529.36,0.055
530,529.107,0.072
531,529.066,0.075
532,528.858,0.035
533,528.804,0.096
534,528.762,0.046
535,528.543,0.026
536,528.529,0.052
537,528.513,0.238
538,528.396,0.033
539,528.366,0.104
540,527.89,0.048
541,527.864,0.047
542,527.754,0.033
543,527.505,0.052
544,527.499,0.056
545,527.441,0.07
546,527.313,0.049
547,527.064,0.051
548,526.711,0.192
549,526.612,0.048
550,526.408,0.055
551,525.781,0.05
552,525.308,0.033
553,524.957,0.06
554,524.869,0.062
555,524.797,0.069
556,524.554,0.045
557,524.448,0.041
558,524.4,0.05
559,524.364,0.048
560,524.224,0.13
561,523.96,0.042
562,523.817,0.055
